,x,y,target
467,67.660614,52.94813,1
468,18.187113,17.450676,1
469,-24.533504,-8.945206,1
470,55.13922,29.780888,1
471,-11.623756,-18.552273,1
472,-0.98416686,-18.408392,1
473,29.596169,-7.4120545,1
474,9.3328905,-13.167205,1
475,37.219078,0.26744157,1
476,-1.5107491,-15.983407,0
477,22.202065,-12.504751,1
478,-3.9610782,-8.667892,1
479,2.0169404,-16.496563,1
480,-78.867966,53.5586,0
481,-61.52665,20.1035,0
482,-9.21067,-25.09182,1
483,-2.3601127,-24.504404,1
484,7.576106,-10.018597,1
485,-38.357433,-1.5955366,0
486,-57.405914,44.00563,0
487,19.52896,-8.874831,1
488,-58.646107,43.25381,0
489,-9.663845,5.8130045,1
490,-51.1553,11.601276,0
491,37.915573,-21.106007,1
492,32.215874,-3.2141428,1
493,59.43657,41.838463,1
494,16.176876,-14.991156,1
495,20.1326,-6.6892896,1
496,23.541851,0.9549483,1
497,-17.507511,-18.285738,1
498,-70.67157,64.29907,0
499,10.515113,-14.244496,1
500,-32.940956,0.69746155,0
501,-3.5190358,-10.04155,1
502,22.608067,-3.2628775,1
503,23.627697,-12.789222,1
504,60.020706,11.124864,1
505,-44.329887,1.7812586,0
506,31.455996,-12.050435,1
507,-45.344574,2.1822248,0
508,41.75083,6.9854436,1
509,-43.388916,4.93034,0
510,32.372932,6.4736557,1
511,44.653206,-1.8467633,1
512,37.943054,12.286531,1
513,24.21953,-7.728285,1
514,-12.740755,-23.412258,1
515,-44.17672,29.371546,0
516,53.653763,-3.270463,1
517,51.38585,3.0690424,1
518,-3.6137056,-10.99688,1
519,9.574557,-7.470706,1
520,14.848149,-10.555593,1
521,75.00515,10.894999,1
522,-48.969772,-2.7446864,0
523,-0.4829636,-19.071014,1
524,-4.866837,-11.679817,1
525,38.771473,31.236038,1
526,3.288852,-15.256246,1
527,-2.5347576,-15.424011,1
528,8.113138,-22.551668,1
529,20.601677,-12.704826,1
530,-16.985142,-22.206661,1
531,46.878517,32.30306,1
532,-1.256367,-13.156754,1
533,48.895897,36.09691,1
534,59.185837,9.843388,1
535,-36.191963,-3.1444588,0
536,81.06563,20.831831,1
537,-42.696026,13.065363,0
538,76.31435,50.545532,1
539,87.007034,34.419853,1
540,-84.98833,25.529224,0
541,-60.440186,28.999327,0
542,-42.940727,-0.5324966,0
543,-0.3195808,-14.473396,1
544,-54.814384,11.433609,0
545,81.21608,34.97583,1
546,32.29318,-10.639965,1
547,1.1385884,-24.592903,1
